34
78
0,31
0,21
0,19
0,17
0,13
0,12
0,11
0,10
0,8
0,7
0,6
0,5
0,4
0,3
0,2
0,1
1,2
1,21
1,13
1,0
1,19
1,30
1,17
1,7
1,3
2,0
2,1
2,28
2,27
2,32
2,9
2,8
2,7
2,13
2,3
3,2
3,0
3,1
3,12
3,7
3,13
4,6
4,0
4,10
5,0
5,10
5,16
5,6
6,0
6,4
6,16
6,5
7,1
7,2
7,3
7,0
8,30
8,33
8,32
8,0
8,2
9,2
9,33
10,0
10,4
10,5
11,0
12,3
12,0
13,0
13,1
13,2
13,3
13,33
14,32
14,33
15,33
15,32
16,5
16,6
17,0
17,1
18,32
18,33
19,1
19,33
19,0
20,33
20,32
21,1
21,0
22,32
22,33
23,33
23,27
23,32
23,25
23,29
24,27
24,25
24,31
25,31
25,23
25,24
26,29
26,33
27,2
27,23
27,24
27,33
28,33
28,31
28,2
29,23
29,32
29,26
29,33
30,32
30,33
30,1
30,8
31,0
31,24
31,25
31,28
31,33
31,32
32,20
32,22
32,23
32,29
32,30
32,31
32,33
32,2
32,8
32,14
32,15
32,18
33,26
33,27
33,28
33,29
33,30
33,31
33,32
33,8
33,9
33,13
33,14
33,15
33,18
33,19
33,20
33,22
33,23
